task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
88	7f/7b7799	468066	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007360.1_cds_YP_308667.1_7)	FAILED	140	2025-08-13 19:50:21.038	3h 59m 10s	3h 59m 5s	-	-	-	-	-
86	dc/64cfe7	468065	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007360.1_cds_YP_308667.1_7)	FAILED	140	2025-08-13 19:50:18.036	3h 59m 13s	3h 59m 10s	-	-	-	-	-
87	ea/0e9fac	468067	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007360.1_cds_YP_308667.1_7)	FAILED	140	2025-08-13 19:50:24.038	3h 59m 7s	3h 59m 5s	-	-	-	-	-
90	98/a1be4a	468068	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_CONTRASTFEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007360.1_cds_YP_308667.1_7)	FAILED	140	2025-08-13 19:50:27.037	3h 59m 4s	3h 59m	-	-	-	-	-
89	0c/5ba6a6	468069	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_MEME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007360.1_cds_YP_308667.1_7)	FAILED	140	2025-08-13 19:50:30.038	3h 59m 31s	3h 59m 25s	-	-	-	-	-
105	d8/767e82	468083	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_CONTRASTFEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	COMPLETED	0	2025-08-13 21:43:33.247	2h 13m 13s	2h 13m 10s	253.0%	503.1 MB	978.5 MB	3.3 MB	6.2 MB
49	93/bdd624	468036	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:IQTREE (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007362.1_cds_YP_308669.1_6)	FAILED	140	2025-08-13 16:44:21.976	7h 59m 10s	7h 59m 6s	-	-	-	-	-
39	80/ef516f	468039	HYPHY_CAPHEINE:CAPHEINE:PROCESS_VIRAL_NONRECOMBINANT:IQTREE (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007358.1_cds_YP_308665.1_2)	FAILED	140	2025-08-13 16:44:30.973	7h 59m 31s	7h 59m 26s	-	-	-	-	-
101	10/bcd325	468080	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	COMPLETED	0	2025-08-13 20:45:03.108	4h 41m 59s	4h 41m 55s	461.4%	3.7 GB	4.2 GB	2.2 MB	8.4 MB
100	e9/ebcce9	468078	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007364.1_cds_YP_308672.1_11)	COMPLETED	0	2025-08-13 20:44:42.107	4h 42m 35s	4h 42m 32s	505.1%	324.8 MB	876.2 MB	2.2 MB	10.4 MB
